date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:22:51	133/133	---MCZ	200	added ('OK')	text/plain	date:Sat,%2008%20Jun%202024%2006:53:04%20GMT	https://gracey.qodeinteractive.com/robots.txt		(from )
12:22:55	125397/125397	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Jun%202024%2006:53:05%20GMT	https://gracey.qodeinteractive.com/portfolio-metro/	C:/My%20Web%20Sites/portfolio/gracey.qodeinteractive.com/portfolio-metro/index.html	(from )
12:22:57	21598/21598	---MCZ	200	added ('OK')	text/css	date:Mon,%2024%20Oct%202022%2011:54:53%20GMT	https://gracey.qodeinteractive.com/wp-content/plugins/instagram-feed/css/sbi-styles.min.css?ver=6.0.8	C:/My%20Web%20Sites/portfolio/gracey.qodeinteractive.com/wp-content/plugins/instagram-feed/css/sbi-styles.mind42d.css	(from https://gracey.qodeinteractive.com/portfolio-metro/)
12:22:57	9130/9130	---MCZ	200	added ('OK')	text/css	date:Thu,%2023%20Dec%202021%2014:04:09%20GMT	https://gracey.qodeinteractive.com/wp-content/plugins/gracey-core/inc/icons/dripicons/assets/css/dripicons.min.css?ver=6.5.4	C:/My%20Web%20Sites/portfolio/gracey.qodeinteractive.com/wp-content/plugins/gracey-core/inc/icons/dripicons/assets/css/dripicons.min380f.css	(from https://gracey.qodeinteractive.com/portfolio-metro/)
12:22:58	22518/22518	---MCZ	200	added ('OK')	text/css	date:Thu,%2023%20Dec%202021%2014:04:09%20GMT	https://gracey.qodeinteractive.com/wp-content/plugins/gracey-core/inc/icons/elegant-icons/assets/css/elegant-icons.min.css?ver=6.5.4	C:/My%20Web%20Sites/portfolio/gracey.qodeinteractive.com/wp-content/plugins/gracey-core/inc/icons/elegant-icons/assets/css/elegant-icons.min380f.css	(from https://gracey.qodeinteractive.com/portfolio-metro/)
12:22:59	58935/58935	---MCZ	200	added ('OK')	text/css	date:Thu,%2023%20Dec%202021%2014:04:09%20GMT	https://gracey.qodeinteractive.com/wp-content/plugins/gracey-core/inc/icons/font-awesome/assets/css/all.min.css?ver=6.5.4	C:/My%20Web%20Sites/portfolio/gracey.qodeinteractive.com/wp-content/plugins/gracey-core/inc/icons/font-awesome/assets/css/all.min380f.css	(from https://gracey.qodeinteractive.com/portfolio-metro/)
12:22:59	45219/45219	---MCZ	200	added ('OK')	text/css	date:Thu,%2023%20Dec%202021%2014:04:09%20GMT	https://gracey.qodeinteractive.com/wp-content/plugins/gracey-core/inc/icons/ionicons/assets/css/ionicons.min.css?ver=6.5.4	C:/My%20Web%20Sites/portfolio/gracey.qodeinteractive.com/wp-content/plugins/gracey-core/inc/icons/ionicons/assets/css/ionicons.min380f.css	(from https://gracey.qodeinteractive.com/portfolio-metro/)
12:23:00	16188/16188	---MCZ	200	added ('OK')	text/css	date:Thu,%2023%20Dec%202021%2014:04:09%20GMT	https://gracey.qodeinteractive.com/wp-content/plugins/gracey-core/inc/icons/kiko/assets/css/kiko-all.min.css?ver=6.5.4	C:/My%20Web%20Sites/portfolio/gracey.qodeinteractive.com/wp-content/plugins/gracey-core/inc/icons/kiko/assets/css/kiko-all.min380f.css	(from https://gracey.qodeinteractive.com/portfolio-metro/)
12:23:02	42983/42983	---MCZ	200	added ('OK')	text/css	date:Thu,%2023%20Dec%202021%2014:04:09%20GMT	https://gracey.qodeinteractive.com/wp-content/plugins/gracey-core/inc/icons/linea-icons/assets/css/linea-icons.min.css?ver=6.5.4	C:/My%20Web%20Sites/portfolio/gracey.qodeinteractive.com/wp-content/plugins/gracey-core/inc/icons/linea-icons/assets/css/linea-icons.min380f.css	(from https://gracey.qodeinteractive.com/portfolio-metro/)
12:23:02	7231/7231	---MCZ	200	added ('OK')	text/css	date:Thu,%2023%20Dec%202021%2014:04:09%20GMT	https://gracey.qodeinteractive.com/wp-content/plugins/gracey-core/inc/icons/linear-icons/assets/css/linear-icons.min.css?ver=6.5.4	C:/My%20Web%20Sites/portfolio/gracey.qodeinteractive.com/wp-content/plugins/gracey-core/inc/icons/linear-icons/assets/css/linear-icons.min380f.css	(from https://gracey.qodeinteractive.com/portfolio-metro/)
